Operateur;lon;lat;2G;3G;4G
20801;-5.088856;48.456575;1;1;0
20810;-5.088018;48.462854;1;1;0
20820;-5.088009;48.462882;1;1;1
20801;-4.956782;48.397297;0;1;1
20801;-4.854029;48.03805;1;1;0
20820;-4.78012;48.354064;1;1;1
20820;-4.731946;48.038597;1;0;0
20801;-4.777732;48.354701;1;1;0
20820;-4.771695;48.504207;1;1;0
20801;-4.77162;48.504338;1;1;0
20810;-4.748946;48.370018;1;1;1
20801;-4.75427;48.454202;1;1;1
20801;-4.677614;48.037218;1;1;1
20820;-4.722875;48.350436;1;1;1
20815;-4.722783;48.35055;0;1;1
20801;-4.722712;48.350618;1;1;1
20810;-4.722662;48.350649;1;1;0
20820;-4.73639;48.450275;1;1;1
20815;-4.736106;48.450284;0;1;1
20815;-4.73674;48.487494;0;1;1
20810;-4.736245;48.488196;1;1;0
20820;-4.716386;48.407197;1;1;0
20801;-4.716174;48.407509;1;1;1
20820;-4.661295;48.033276;1;1;0
20810;-4.661275;48.033232;1;1;0
20815;-4.661042;48.033391;0;1;1
20810;-4.73205;48.538022;1;1;0
20810;-4.712836;48.435849;1;1;0
20820;-4.691832;48.554594;1;1;0
20810;-4.641988;48.36019;1;1;1
20815;-4.64198;48.360317;0;1;1
20820;-4.660579;48.528446;1;1;1
20810;-4.660602;48.528697;1;1;0
20815;-4.660566;48.528546;0;1;0
20801;-4.660597;48.528752;1;1;1
20801;-4.632848;48.359272;1;1;1
20801;-4.621459;48.38189;0;1;1
20810;-4.627918;48.428619;0;1;0
20801;-4.62788;48.42864;0;1;1
20810;-4.621157;48.388309;1;1;1
20801;-4.620961;48.388268;1;1;0
20820;-4.620452;48.388219;1;1;1
20810;-4.627855;48.458595;1;1;0
20820;-4.613009;48.357244;1;1;1
20810;-4.561442;48.031696;1;1;0
20801;-4.618222;48.447493;1;1;1
20820;-4.613982;48.445054;1;1;1
20801;-4.602764;48.377979;1;1;1
20815;-4.61168;48.443331;0;1;1
20810;-4.602406;48.388803;1;1;1
20815;-4.602365;48.388796;0;1;1
20820;-4.585282;48.273059;1;1;1
20801;-4.585258;48.272988;1;1;0
20810;-4.583617;48.271277;1;1;0
20815;-4.583625;48.271521;0;1;0
20810;-4.617208;48.565674;1;1;0
20820;-4.617212;48.565701;1;1;0
20815;-4.606184;48.525026;0;1;0
20820;-4.606141;48.525011;1;1;1
20801;-4.552765;48.170031;1;1;0
20810;-4.575624;48.377851;1;1;1
20801;-4.57555;48.37781;1;1;0
20801;-4.522603;48.020089;1;1;1
20810;-4.522533;48.019976;0;1;0
20820;-4.522518;48.019968;1;1;0
20815;-4.522495;48.019997;0;1;1
20801;-4.571039;48.360656;1;1;1
20810;-4.582035;48.43899;1;1;0
20810;-4.563773;48.360778;1;1;1
20820;-4.563618;48.360833;1;1;1
20820;-4.571663;48.429721;1;1;1
20801;-4.571569;48.429827;1;1;1
20820;-4.570284;48.464442;1;1;1
20801;-4.502627;48.016152;1;1;1
20815;-4.555694;48.42738;0;1;1
20801;-4.555672;48.427418;1;1;1
20801;-4.544592;48.373763;1;1;0
20801;-4.558209;48.46976;1;1;0
20801;-4.546137;48.418347;1;1;0
20810;-4.545953;48.418016;1;1;0
20801;-4.517235;48.227081;0;1;1
20801;-4.567601;48.587746;1;1;0
20820;-4.567583;48.587711;1;0;0
20801;-4.537554;48.383123;0;1;1
20810;-4.481313;48.017965;1;1;0
20801;-4.532323;48.37807;1;1;0
20810;-4.532252;48.378048;1;1;1
20801;-4.48104;48.03278;1;1;0
20820;-4.531237;48.385243;1;1;1
20820;-4.480933;48.032688;1;1;0
20815;-4.480836;48.032766;0;1;1
20810;-4.527972;48.371388;1;1;1
